N,aimed_PNbig,Nbig,Nsmall,NA,aimed_PAbig,NAbig,NAsmall,NBbig,NBsmall,PA,PAbig,PNbig,PABbig,PABsmall,diff_PAB_bigsmall,congruent,cong_tr_ix,side_cloud1,trial_family,total_elem,total_shapeA,total_shapeB,prop_shapeA_total,elem1,shapeA1,shapeB1,elem2,shapeA2,shapeB2,prop_elem_L_R,prop_shapeA_L_R,trial_ix,stimulus_type,resp_type,block_type,left_opt_best,best_opt,left_best,best_resp,trial_nb,block_nb,block_length,elem_look_at,resp_modality,switch_family,switch_type,same_resp_as_previous,transition_trials,transition_stimulus,transition_response,allow_break
85,0.52,45,40,38,0.52,20,18,25,22,0.447058823529412,0.526315789473684,0.529411764705882,0.8,0.818181818181818,-0.0181818181818182,1,35,2,91,85,38,47,0.447058823529412,40,18,22,45,20,25,0.470588235294118,0.473684210526316,203,1,2,3,0,2,1,1,27,4,8,0,1,0,0,1,0,0,0,0
75,0.56,43,32,28,0.44,12,16,31,16,0.373333333333333,0.428571428571429,0.573333333333333,0.387096774193548,1,-0.612903225806452,0,29,2,29,75,28,47,0.373333333333333,32,16,16,43,12,31,0.426666666666667,0.571428571428571,141,1,2,3,0,2,1,1,28,4,8,0,1,0,0,1,0,0,0,0
75,0.52,39,36,33,0.46,15,18,24,18,0.44,0.454545454545455,0.52,0.625,1,-0.375,0,15,2,15,75,33,42,0.44,36,18,18,39,15,24,0.48,0.545454545454545,127,1,2,3,0,2,1,1,29,4,8,0,1,0,0,1,0,0,0,0
65,0.52,34,31,29,0.54,16,13,18,18,0.446153846153846,0.551724137931034,0.523076923076923,0.888888888888889,0.722222222222222,0.166666666666667,1,2,2,58,65,29,36,0.446153846153846,31,13,18,34,16,18,0.476923076923077,0.448275862068966,170,1,2,3,0,2,1,1,30,4,8,0,1,0,0,1,0,0,0,0
85,0.52,45,40,48,0.54,26,22,19,18,0.564705882352941,0.541666666666667,0.529411764705882,1.36842105263158,1.22222222222222,0.146198830409357,1,39,1,95,85,48,37,0.564705882352941,45,26,19,40,22,18,0.529411764705882,0.541666666666667,207,1,2,3,1,1,0,2,31,4,8,0,1,0,0,0,0,0,0,0
85,0.52,45,40,35,0.44,15,20,30,20,0.411764705882353,0.428571428571429,0.529411764705882,0.5,1,-0.5,0,37,1,37,85,35,50,0.411764705882353,45,15,30,40,20,20,0.529411764705882,0.428571428571429,149,1,2,3,1,1,0,2,32,4,8,0,1,0,0,1,0,0,0,0
85,0.54,46,39,25,0.46,11,14,35,25,0.294117647058824,0.44,0.541176470588235,0.314285714285714,0.56,-0.245714285714286,0,42,2,42,85,25,60,0.294117647058824,39,14,25,46,11,35,0.458823529411765,0.56,154,1,2,3,0,2,1,1,33,4,8,0,1,0,0,0,0,0,0,0
85,0.54,46,39,38,0.52,20,18,26,21,0.447058823529412,0.526315789473684,0.541176470588235,0.769230769230769,0.857142857142857,-0.0879120879120878,1,43,1,99,85,38,47,0.447058823529412,46,20,26,39,18,21,0.541176470588235,0.526315789473684,99,1,1,1,1,1,1,1,34,5,7,0,0,2,4,1,1,0,1,0
75,0.52,39,36,41,0.44,18,23,21,13,0.546666666666667,0.439024390243902,0.52,0.857142857142857,1.76923076923077,-0.912087912087912,0,19,1,19,75,41,34,0.546666666666667,39,18,21,36,23,13,0.52,0.439024390243902,19,1,1,1,1,1,1,1,35,5,7,0,0,0,0,1,0,0,0,0
65,0.52,34,31,38,0.52,20,18,14,13,0.584615384615385,0.526315789473684,0.523076923076923,1.42857142857143,1.38461538461538,0.043956043956044,1,4,2,60,65,38,27,0.584615384615385,31,18,13,34,20,14,0.476923076923077,0.473684210526316,60,1,1,1,0,2,0,2,36,5,7,0,0,0,0,0,0,0,0,0
